Wall time,Step,Value
1719708556.5635664,0,0.0002467200974933803
1719709796.9909935,9,0.0
1719711164.1524007,19,0.029528481885790825
1719712532.1478653,29,0.06171979755163193
1719713898.4189062,39,0.22646184265613556
1719715266.9811225,49,0.22194691002368927
1719716633.2166138,59,0.32845261693000793
1719718002.274069,69,0.3505000174045563
1719719367.1406326,79,0.36422014236450195
1719720735.5939116,89,0.39101436734199524
1719721977.524153,98,0.4057292938232422
1719722204.8107522,99,0.40372994542121887
