Wall time,Step,Value
1719708556.5635042,0,0.006494602188467979
1719709796.9908698,9,0.0
1719711164.152359,19,0.009868420660495758
1719712532.1478252,29,0.006494602188467979
1719713898.4187799,39,0.10510852932929993
1719715266.9808624,49,0.12166835367679596
1719716633.216554,59,0.1839996725320816
1719718002.273972,69,0.2037505805492401
1719719367.1405487,79,0.24679486453533173
1719720735.5938401,89,0.2895861566066742
1719721977.5241075,98,0.36160314083099365
1719722204.8107095,99,0.3621373176574707
