Wall time,Step,Value
1719722462.3138368,0,0.00017496253713034093
1719723709.264024,9,0.0
1719725081.0011742,19,0.003021661890670657
1719726462.2060354,29,0.004250746686011553
1719727843.0721855,39,0.10440793633460999
1719729224.5017855,49,0.1649949550628662
1719730605.0826898,59,0.21854591369628906
1719731986.5591779,69,0.265641450881958
1719733367.4141378,79,0.29122045636177063
1719734747.5179453,89,0.3117777109146118
1719736000.101505,98,0.31312423944473267
1719736229.5654657,99,0.31238800287246704
