Wall time,Step,Value
1719708556.5637836,0,0.0054450808092951775
1719709796.9910846,9,0.0
1719711164.1524947,19,0.03642704710364342
1719712532.1480298,29,0.07140033692121506
1719713898.4189885,39,0.23903623223304749
1719715266.9812648,49,0.2343614399433136
1719716633.2167377,59,0.3492588400840759
1719718002.2742581,69,0.37169355154037476
1719719367.1407106,79,0.38245099782943726
1719720735.5939918,89,0.41917547583580017
1719721977.524238,98,0.42985421419143677
1719722204.8109264,99,0.4281505048274994
