Wall time,Step,Value
1719694683.3536031,0,2.7571786631597206e-05
1719695914.399428,9,8.61459739098791e-06
1719697270.6019406,19,0.00568629615008831
1719698633.9875572,29,0.035360511392354965
1719699998.8638227,39,0.11560355126857758
1719701364.164976,49,0.24465440213680267
1719702730.6451318,59,0.1835300624370575
1719704094.983758,69,0.2900838851928711
1719705462.4324915,79,0.3546508252620697
1719706827.226204,89,0.3794268071651459
1719708066.552777,98,0.3886825144290924
1719708292.7686396,99,0.4000304639339447
