Wall time,Step,Value
1719694683.3535433,0,0.010051170364022255
1719695914.399334,9,0.0
1719697270.6018808,19,0.003289473708719015
1719698633.987471,29,0.023209067061543465
1719699998.863781,39,0.05264563485980034
1719701364.1649096,49,0.05264563485980034
1719702730.6450796,59,0.11534243822097778
1719704094.983663,69,0.17438428103923798
1719705462.4324489,79,0.22659412026405334
1719706827.2261255,89,0.2729279100894928
1719708066.5526824,98,0.27311068773269653
1719708292.7685905,99,0.25648054480552673
