Wall time,Step,Value
1719694683.3529909,0,28.36359214782715
1719695914.3989437,9,20.016115188598633
1719697270.6014302,19,16.951597213745117
1719698633.9871,29,16.834840774536133
1719699998.8633265,39,15.27229118347168
1719701364.1645584,49,14.904446601867676
1719702730.6446004,59,14.571179389953613
1719704094.9832442,69,14.085688591003418
1719705462.4319806,79,13.849563598632812
1719706827.2256978,89,13.64158821105957
1719708066.5522578,98,13.534560203552246
1719708292.768212,99,13.562460899353027
