Wall time,Step,Value
1719694683.3536868,0,0.003180046798661351
1719695914.3994703,9,0.000609540962614119
1719697270.601987,19,0.3138929605484009
1719698633.9875991,29,0.3683322072029114
1719699998.863872,39,0.7768985629081726
1719701364.1650164,49,0.852153480052948
1719702730.6452289,59,0.8837016820907593
1719704094.983801,69,0.8959590196609497
1719705462.432644,79,0.8545506596565247
1719706827.2262456,89,0.8411169648170471
1719708066.5528195,98,0.8460614085197449
1719708292.768716,99,0.8307985663414001
