Wall time,Step,Value
1719150976.4116335,0,0.009447223506867886
1719152255.9891772,9,0.09569908678531647
1719153666.4297497,19,0.23376405239105225
1719155087.1244528,29,0.3000599443912506
1719156507.0985885,39,0.410736620426178
1719157918.465181,49,0.6980798244476318
1719159314.3001785,59,0.705265462398529
1719160714.964735,69,0.8734554648399353
1719162114.2983818,79,0.9125579595565796
1719163515.7493012,89,0.939727783203125
1719164786.9903026,98,0.9419737458229065
1719165019.2640104,99,0.9360219240188599
