Wall time,Step,Value
1719150976.4113228,0,0.919212818145752
1719152255.9885492,9,0.9964081048965454
1719153666.4295976,19,0.9990752935409546
1719155087.1241786,29,0.9996310472488403
1719156507.098349,39,0.9992932081222534
1719157918.464909,49,0.9983729720115662
1719159314.2999403,59,0.9981417655944824
1719160714.964481,69,0.9978705644607544
1719162114.2981362,79,0.9975594282150269
1719163515.7490444,89,0.9975683689117432
1719164786.9901485,98,0.9974527955055237
1719165019.2636476,99,0.9974570870399475
