Wall time,Step,Value
1719186140.8105688,0,0.017423374578356743
1719187478.9613242,9,0.003962494898587465
1719188952.511781,19,0.8981223702430725
1719190424.0347376,29,0.879576563835144
1719191898.6709354,39,0.8694571852684021
1719193370.5203483,49,0.7813441157341003
1719194857.2525954,59,0.8229482769966125
1719196324.2237492,69,0.8039848208427429
1719197792.9705405,79,0.7834646105766296
1719199262.4331641,89,0.7650482058525085
1719200592.0887914,98,0.7464040517807007
1719200839.341607,99,0.7571728825569153
