Wall time,Step,Value
1719171209.4901385,0,0.007304715923964977
1719172535.7335548,9,0.0009884120663627982
1719173997.5294178,19,0.060373418033123016
1719175487.4460435,29,0.2576709985733032
1719176948.4923072,39,0.1932789832353592
1719178412.3508146,49,0.47201189398765564
1719179886.4902942,59,0.6710944771766663
1719181357.1778247,69,0.7640923857688904
1719182827.2297223,79,0.8584917783737183
1719184296.9311159,89,0.8869364261627197
1719185631.047498,98,0.9095398783683777
1719185873.0420687,99,0.900963544845581
